date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-58-55,0,37,0,0,35,0,39,0,0,33,0
09-59-05,0,33,0,0,32,0,33,0,0,35,0
09-59-15,0,35,0,0,0,0,34,0,0,34,0
09-59-25,0,38,0,0,32,0,39,0,0,34,0
09-59-35,0,35,0,0,32,0,41,0,0,35,0
09-59-45,0,34,0,0,33,0,34,0,0,37,0
09-59-55,0,34,0,0,0,0,44,0,0,33,0
10-00-05,0,0,0,0,0,0,38,0,0,33,0
10-00-15,0,35,0,0,33,0,34,0,0,36,0
10-00-25,0,32,0,0,33,0,40,0,0,33,0
10-00-35,0,33,0,0,33,0,37,0,0,33,0
10-00-45,0,34,0,0,32,0,37,0,0,39,0
10-00-55,0,35,0,0,0,0,38,0,0,32,0
10-01-05,0,0,0,0,0,0,37,0,0,0,0
10-01-15,0,33,0,0,0,0,35,0,0,0,0
10-01-25,0,39,0,0,32,0,33,0,0,0,0
10-01-35,0,40,0,0,32,0,46,0,0,0,0
10-01-45,0,33,0,0,0,0,35,0,0,0,0
10-01-55,0,36,0,0,0,0,35,0,0,0,0
10-02-05,0,34,0,0,0,0,35,0,0,0,0
10-02-15,0,35,0,0,33,0,33,0,0,0,0
10-02-25,0,32,0,0,33,0,36,0,0,0,0
10-02-35,0,35,0,0,0,0,33,0,0,33,0
10-02-45,0,34,0,0,33,0,35,0,0,36,0
10-02-55,0,35,0,0,33,0,37,0,0,33,0
10-03-05,0,33,0,0,33,0,37,0,0,0,0
10-03-15,0,0,0,0,32,0,35,0,0,0,0
10-03-25,0,0,0,0,33,0,39,0,0,32,0
10-03-35,0,0,0,0,32,0,34,0,0,34,0
10-03-45,0,32,0,0,32,0,37,0,0,35,0
10-03-55,0,0,0,0,0,0,37,0,0,0,0
10-04-05,0,0,0,0,33,0,38,0,0,32,0
10-04-15,0,0,0,0,33,0,36,0,0,33,0
10-04-25,0,33,0,0,34,0,35,0,0,39,0
10-04-35,0,35,0,0,34,0,38,0,0,37,0
10-04-45,0,33,0,0,36,0,39,0,0,32,0
10-04-55,0,33,0,0,33,0,38,0,0,32,0
10-05-05,0,32,0,0,32,0,35,0,0,32,0
10-05-15,0,32,0,0,32,0,34,0,0,32,0
