date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-27-15,0,0,57,31,0,57,44,0,0,0,0,0,0,0,49,0
09-27-25,31,0,57,34,0,58,45,0,0,0,0,0,0,0,46,0
09-27-35,31,0,56,37,0,58,41,0,0,0,0,0,0,0,46,0
09-27-45,0,0,57,37,0,57,39,0,0,0,0,0,0,0,46,0
09-27-55,0,0,57,33,0,57,39,0,0,0,0,0,31,0,47,0
09-28-05,0,0,56,32,0,58,37,0,0,0,0,0,0,0,44,0
09-28-15,0,0,56,32,0,57,36,0,0,0,0,0,0,0,48,0
09-28-25,0,0,57,0,0,57,34,0,0,0,31,0,32,0,48,0
09-28-35,0,0,57,0,0,58,35,0,0,0,0,0,31,0,46,0
09-28-45,0,0,57,0,0,58,33,0,0,0,0,0,33,0,47,0
09-28-55,0,0,56,0,0,58,31,0,0,0,0,0,31,0,46,0
09-29-05,0,0,56,0,0,57,31,0,0,0,0,0,0,0,47,0
09-29-15,0,0,56,0,0,58,31,0,0,0,0,0,0,0,47,0
09-29-25,0,0,56,0,0,58,31,35,0,0,31,0,0,0,47,0
09-29-35,0,0,57,0,0,58,0,0,0,0,0,0,0,0,47,0
09-29-45,0,0,56,0,0,57,33,0,0,0,0,0,0,0,47,0
09-29-55,0,0,56,0,0,57,0,0,0,0,0,0,0,0,48,0
09-30-05,0,0,57,0,0,58,0,0,0,0,0,0,0,0,45,0
09-30-15,0,0,57,0,0,57,0,0,0,0,0,0,0,0,47,0
09-30-25,0,0,56,0,0,57,0,0,0,0,0,0,0,0,36,0
09-30-35,0,0,56,0,0,57,0,0,0,0,0,0,0,0,36,0
09-30-45,0,0,56,0,0,57,0,0,0,0,0,0,0,0,36,0
09-30-55,0,0,56,0,0,57,0,0,0,0,0,0,0,0,35,0
09-31-05,0,0,56,0,0,57,0,0,0,0,0,0,0,0,34,0
09-31-15,0,0,56,0,0,57,0,0,0,0,0,0,0,0,33,0
09-31-25,0,0,56,0,0,58,0,0,0,0,0,0,0,0,35,0
09-31-35,0,0,56,0,0,57,0,0,0,0,0,0,0,0,32,0
09-31-45,32,0,56,0,0,54,0,0,0,0,0,0,0,0,0,0
09-31-55,32,0,56,0,0,50,0,0,0,0,0,0,0,0,0,0
09-32-05,31,0,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-32-15,31,0,56,0,0,58,0,0,0,0,31,0,0,0,0,0
09-32-25,33,0,57,0,0,58,0,0,0,0,0,0,0,0,0,0
09-32-35,0,0,55,0,0,59,0,0,0,0,0,0,0,0,32,0
09-32-45,31,0,56,0,0,59,0,0,0,0,0,0,0,0,38,0
09-32-55,32,0,57,0,0,59,0,0,0,0,0,0,0,0,32,0
09-33-05,32,0,57,0,0,58,0,0,0,0,0,0,0,0,33,0
09-33-15,32,0,56,0,0,58,0,0,0,0,0,0,0,0,34,0
09-33-25,32,0,57,0,0,58,0,0,0,0,31,0,0,0,37,0
09-33-35,0,0,57,0,0,57,0,0,0,0,0,0,0,0,0,0
09-33-45,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-33-55,31,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-34-05,31,0,54,0,0,56,0,0,0,0,0,0,0,0,32,0
09-34-15,0,0,55,0,0,57,0,33,0,0,0,0,0,0,33,0
09-34-25,0,0,53,0,0,57,0,0,0,0,0,0,0,0,33,0
09-34-35,0,0,53,0,0,56,0,0,0,0,0,0,0,0,31,0
09-34-45,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-34-55,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-35-05,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-35-15,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-35-25,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-35-35,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-35-45,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-35-55,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-36-05,0,0,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-36-15,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-36-25,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-36-35,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-36-45,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-36-55,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-37-05,0,0,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-37-15,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-37-25,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-37-35,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-37-45,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-37-55,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-38-05,0,0,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-38-15,0,0,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-38-25,0,0,53,0,0,57,0,0,0,0,31,0,0,0,0,0
09-38-35,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-38-45,0,0,53,0,0,55,0,0,0,0,0,0,0,0,0,0
09-38-55,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-39-05,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-39-15,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-39-25,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-39-35,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-39-45,0,0,53,0,0,56,0,0,0,0,0,0,0,0,31,0
09-39-55,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
