date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
14-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-13-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-14-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-15-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-16-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-17-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-18-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-19-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-20-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-21-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-22-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-23-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-24-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-25-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-27-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-28-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-29-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-30-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-31-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,0
14-32-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-33-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-34-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-35-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-36-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-37-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-38-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-39-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-40-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-41-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
14-42-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-43-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-44-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-45-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-46-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-47-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-48-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-49-05,0,0,36,0,0,0,0,0,0,0,0,0,0,37,31,0
14-50-05,0,0,35,0,0,0,0,0,0,0,0,0,0,36,31,0
14-51-05,0,0,35,0,0,0,0,0,0,0,0,0,0,36,32,0
14-52-05,0,0,35,0,0,0,0,0,0,0,0,0,0,36,32,0
14-53-05,0,0,35,0,0,0,0,0,0,0,0,0,0,36,32,0
14-54-05,0,0,35,0,0,0,0,0,0,0,0,0,0,36,32,0
14-55-05,0,0,35,0,0,38,0,0,0,0,0,0,0,36,32,0
14-56-05,0,0,34,0,0,38,0,0,0,0,0,0,0,36,32,0
14-57-05,0,0,35,0,0,38,0,0,0,0,0,0,0,36,31,0
14-58-05,0,0,35,0,0,38,0,0,0,0,0,0,0,36,31,0
14-59-05,0,0,35,0,0,39,0,0,0,0,0,0,0,36,32,0
15-00-05,0,0,35,0,0,38,0,0,0,0,0,0,0,36,32,0
15-01-05,0,0,35,32,0,38,0,0,0,0,0,0,0,36,32,0
15-02-05,0,0,35,0,0,38,0,0,0,0,0,0,0,36,32,0
15-03-05,0,0,35,0,0,38,0,0,0,0,0,0,0,36,32,0
15-04-05,0,0,35,32,0,39,0,0,0,0,0,0,0,37,0,0
15-05-05,0,0,35,32,0,38,0,0,0,0,0,0,0,37,0,0
15-06-05,0,0,35,32,0,39,0,0,0,0,0,0,0,37,0,0
15-07-05,0,0,35,31,0,39,0,0,0,0,0,0,0,37,0,0
15-08-05,0,0,36,32,0,39,0,0,0,0,0,0,0,37,0,0
15-09-05,0,0,35,31,0,39,0,0,0,0,0,0,0,38,0,0
15-10-05,0,0,35,31,0,39,0,0,0,0,0,0,0,37,31,0
15-11-05,0,0,35,31,0,39,0,0,0,0,0,0,0,38,32,0
