date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
15-20-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-21-05,0,0,55,46,0,0,0,38,0,0,0,0,38,47,49,0
15-22-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-23-05,0,0,55,46,0,0,0,38,0,0,0,0,38,47,49,0
15-24-05,0,0,54,46,0,0,0,39,0,0,0,0,38,48,49,0
15-25-05,0,0,55,46,0,0,0,39,0,0,0,0,38,47,49,0
15-26-05,0,0,54,46,0,0,0,37,0,0,0,0,38,47,49,0
15-27-05,0,0,54,45,0,0,0,37,0,0,0,0,38,47,49,0
15-28-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-29-05,0,0,55,46,0,0,0,38,0,0,30,0,38,47,50,0
15-30-05,0,0,55,46,0,0,0,37,0,0,0,0,37,48,48,0
15-31-05,0,0,55,45,0,0,0,37,0,0,0,0,37,46,50,0
15-32-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-33-05,0,0,54,46,0,0,0,38,0,0,29,0,38,47,49,0
15-34-05,0,0,55,45,0,0,0,38,0,0,0,0,38,48,50,0
15-35-05,0,0,55,45,0,0,0,37,0,0,0,0,37,47,49,0
15-36-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-37-05,0,0,55,46,0,0,0,38,0,0,0,0,38,47,49,0
15-38-05,0,0,55,46,0,0,0,37,0,0,0,0,38,47,49,0
15-39-05,0,0,55,46,0,0,0,37,0,0,0,0,37,47,50,0
15-40-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-41-05,0,0,55,46,0,0,0,37,0,0,0,0,38,47,49,0
15-42-05,0,0,55,46,0,0,0,38,0,0,0,0,38,48,49,0
15-43-05,0,0,55,46,0,0,0,38,0,0,0,0,38,46,49,0
15-44-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
15-45-05,0,0,55,46,0,0,0,37,0,0,0,0,38,47,49,0
15-46-05,0,0,55,46,0,0,0,37,0,0,0,0,38,47,49,0
15-47-05,0,0,55,46,0,0,0,39,0,0,0,0,38,47,49,0
15-48-05,0,0,55,46,0,0,0,38,0,0,0,0,37,47,49,0
15-49-05,0,0,55,44,0,0,0,38,0,0,0,0,38,47,50,0
15-50-05,0,0,55,46,0,0,0,39,0,0,0,0,38,47,49,0
15-51-05,0,0,54,45,0,0,0,38,0,0,0,0,38,47,50,0
15-52-05,0,0,55,45,0,0,0,38,0,0,0,0,38,46,49,0
15-53-05,0,0,55,46,0,0,0,38,0,0,0,0,38,47,49,0
