date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
10-16-25,0,62,0,0,0,31,0,0,0,0,0
10-16-35,0,61,0,0,0,0,0,0,0,0,0
10-16-45,0,62,0,0,0,31,0,0,0,0,0
10-16-55,0,62,0,0,0,0,0,0,0,0,0
10-17-05,0,62,0,0,0,31,0,0,0,0,0
10-17-15,0,62,0,0,0,33,0,0,0,0,0
10-17-25,0,62,0,0,0,0,0,0,0,0,0
10-17-35,0,61,0,0,0,0,0,0,0,0,0
10-17-45,0,61,0,0,0,0,0,0,0,0,0
10-17-55,0,57,0,0,0,35,0,0,0,0,0
10-18-05,0,57,0,0,0,38,0,0,0,0,0
10-18-15,0,61,0,0,0,34,0,0,0,0,0
10-18-25,0,58,0,0,0,32,0,0,0,0,0
10-18-35,0,58,0,0,0,37,0,0,0,0,0
10-18-45,0,50,0,0,0,36,0,0,0,0,31
10-18-55,0,49,0,0,0,32,32,0,0,0,31
10-19-05,0,50,0,0,0,32,34,0,0,0,31
10-19-15,0,48,0,0,0,0,33,0,0,0,0
10-19-25,0,51,0,0,0,0,32,0,0,32,31
10-19-35,0,40,0,0,0,32,32,0,0,0,0
10-19-45,0,31,0,0,0,35,33,0,0,0,0
10-19-55,0,0,0,0,0,31,34,0,0,0,0
10-20-05,0,0,0,0,0,0,32,0,0,0,0
10-20-15,0,31,0,0,0,32,32,0,0,0,0
10-20-25,0,0,0,0,0,38,33,0,0,0,0
10-20-35,0,0,0,0,0,33,33,0,0,0,0
10-20-45,0,0,0,0,0,31,0,0,0,0,35
10-20-55,0,0,0,0,0,36,0,0,0,0,0
10-21-05,0,32,0,0,0,34,0,0,0,0,0
10-21-15,0,31,0,0,0,33,32,0,0,0,0
10-21-25,0,31,0,0,0,33,31,0,0,0,0
10-21-35,0,0,0,0,0,0,0,0,0,31,0
10-21-45,0,0,0,0,0,0,31,0,0,32,0
10-22-05,0,0,0,0,0,0,0,0,0,31,0
10-22-15,0,34,0,0,0,0,32,0,0,31,0
10-22-25,0,32,0,0,0,0,31,0,0,31,0
10-22-35,0,31,0,0,0,33,31,0,0,32,0
