date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
13-02-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
13-03-05,0,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0
13-04-05,0,0,0,0,33,0,32,0,0,0,0,0,0,56,0,0
13-05-05,0,0,0,0,34,0,0,0,32,0,33,0,0,45,0,0
13-06-05,0,0,0,0,33,0,0,0,0,0,0,0,0,44,0,0
13-07-05,0,0,0,0,34,0,32,0,0,0,0,0,0,45,41,0
13-08-05,0,0,0,0,35,0,33,0,0,0,0,0,0,48,43,0
13-09-05,0,0,0,0,35,0,33,0,0,0,0,0,0,48,43,0
13-10-05,0,0,0,0,35,0,0,0,0,0,0,0,0,48,43,0
13-11-05,0,0,0,0,35,0,0,0,32,0,0,0,0,49,43,0
13-12-05,0,32,0,33,35,0,0,0,0,0,0,0,0,48,43,0
13-13-05,0,35,0,0,36,0,32,0,0,0,0,0,0,48,43,0
13-14-05,0,33,0,0,34,0,32,0,0,0,32,0,0,45,40,0
13-15-05,0,57,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-16-05,0,49,0,0,36,0,0,0,0,0,36,0,0,48,41,0
13-17-05,0,48,0,0,36,0,0,0,0,0,0,0,0,49,42,0
13-18-05,0,35,0,0,37,0,0,0,0,0,0,0,0,46,42,0
13-19-05,0,36,0,0,37,0,0,0,0,0,0,0,0,46,42,0
13-20-05,0,38,0,0,37,0,0,0,0,0,0,0,0,44,42,0
13-21-05,0,35,0,0,37,0,32,0,0,0,0,0,0,50,41,0
13-22-05,0,37,0,0,37,0,33,0,0,0,0,0,0,50,42,0
13-23-05,0,37,0,0,36,0,0,0,0,0,0,0,0,49,42,0
13-24-05,0,37,0,0,37,0,0,0,0,0,0,0,0,51,42,0
13-25-05,0,38,0,0,36,0,35,0,0,0,0,0,0,50,42,0
13-26-05,0,37,0,0,37,0,34,0,0,0,0,0,0,50,42,0
13-27-05,0,37,0,0,36,0,32,0,0,0,0,0,0,50,41,0
13-28-05,0,36,0,0,36,0,32,0,0,0,0,0,0,50,42,0
13-29-05,0,37,0,0,36,0,32,0,0,0,0,0,0,51,41,0
