date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-47-11,0,0,48,0,0,60,0,0,0,0,0,0,0,56,0,0
09-47-21,0,0,49,0,0,61,0,0,0,0,0,0,0,56,0,0
09-47-31,0,0,49,0,0,59,0,0,0,0,0,0,0,56,0,0
09-47-41,0,0,49,0,0,61,0,0,0,0,0,0,0,57,0,0
09-47-51,0,0,49,0,0,60,0,0,0,0,0,0,0,56,0,0
09-48-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,32,0
09-48-11,0,0,49,0,0,59,0,0,0,0,0,0,0,56,0,0
09-48-21,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-48-31,0,0,48,0,0,61,0,0,0,0,0,0,0,56,0,0
09-48-41,0,0,49,0,0,59,0,0,0,0,0,0,0,57,0,0
09-48-51,0,0,48,0,0,60,0,0,0,0,0,0,0,56,0,0
09-49-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-49-11,0,0,49,0,0,58,0,0,0,0,0,0,0,57,0,0
09-49-21,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-49-31,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-49-41,0,0,49,0,0,60,33,0,0,0,0,0,0,57,0,0
09-49-51,0,0,49,0,0,60,0,0,0,0,0,0,0,54,0,0
09-50-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-50-11,0,0,49,0,0,60,31,0,0,0,0,0,0,56,0,0
09-50-21,0,0,47,0,0,61,0,0,0,0,0,0,0,57,0,0
09-50-31,0,0,48,0,0,60,0,0,0,0,0,0,0,55,0,0
09-50-41,0,0,47,0,0,60,0,0,0,0,0,0,0,56,0,0
09-50-51,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-51-01,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-51-11,0,0,49,0,0,60,0,0,0,0,0,0,0,56,0,0
09-51-21,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-51-31,0,0,48,0,0,59,0,0,0,0,0,0,0,57,0,0
09-51-41,0,0,48,0,0,60,0,0,0,0,0,0,0,57,0,0
09-51-51,0,0,45,0,0,60,0,0,0,0,0,0,0,57,0,0
09-52-01,0,0,49,0,0,59,33,0,0,0,0,0,0,57,0,0
09-52-11,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-52-21,0,0,49,0,0,59,0,0,0,0,0,0,0,57,0,0
09-52-31,0,0,50,0,0,60,0,0,0,0,0,0,0,57,0,0
09-52-41,0,0,48,0,0,60,0,0,0,0,0,0,0,57,0,0
09-52-51,0,0,48,0,0,61,32,0,0,0,0,0,0,57,0,0
09-53-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-53-11,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-53-21,0,0,48,0,0,60,0,0,0,0,0,0,0,56,0,0
09-53-31,0,0,49,0,0,60,0,0,0,0,0,0,0,56,0,0
09-53-41,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-53-51,0,0,45,0,0,58,0,0,0,0,0,0,0,55,0,0
09-54-01,0,0,48,0,0,61,0,0,0,0,0,0,0,57,0,0
