date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-35-21,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-35-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-35-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-35-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-36-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-36-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-36-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-36-41,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-36-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-37-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-37-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-37-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-37-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-37-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-37-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-38-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-38-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-38-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-38-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-38-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-38-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-39-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-39-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-39-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-39-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-39-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
