date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-55-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
09-55-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-58-11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-58-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-58-41,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-59-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-59-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-59-41,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-59-51,0,0,0,0,0,0,51,0,0,0,32,40,0,0,32,0
10-00-01,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
10-00-11,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
10-00-21,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
10-00-31,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
10-00-41,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
10-00-51,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-01-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-01-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-01-21,0,0,0,35,0,34,0,0,0,0,0,0,0,0,0,0
10-01-31,0,47,40,0,0,36,0,0,0,0,0,0,0,0,0,0
10-01-41,0,0,40,0,0,36,0,0,0,0,0,0,0,37,0,0
10-01-51,0,0,50,0,0,56,0,0,0,0,0,0,0,45,0,0
10-02-01,0,0,55,0,0,45,0,0,0,0,0,0,0,50,0,0
10-02-11,0,0,32,0,0,35,0,0,0,0,0,0,0,0,0,0
10-02-21,0,41,0,0,0,34,0,0,0,0,0,32,0,0,0,0
10-02-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-51,0,0,35,0,0,0,0,0,0,0,0,0,0,0,32,44
10-03-01,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-21,0,0,0,35,0,0,0,0,0,0,0,0,0,0,34,0
10-03-41,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-01,0,32,41,0,0,36,0,0,0,0,0,0,0,0,0,0
10-04-31,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-04-41,0,0,37,34,0,34,33,0,0,0,0,0,0,0,0,0
10-04-51,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-05-01,0,0,38,0,0,33,0,0,0,0,0,0,0,0,0,0
10-05-11,0,0,41,0,0,0,0,0,0,0,0,0,0,36,0,0
10-05-21,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,0
10-05-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-05-41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-01,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0
10-06-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-07-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-07-31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-07-41,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-07-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-08-11,34,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-08-31,0,32,0,0,0,0,36,0,0,0,0,0,0,0,0,0
10-08-41,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
10-09-01,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-11,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0
10-10-21,0,0,33,0,0,32,0,0,0,0,0,0,0,37,0,0
10-11-51,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-21,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
10-12-31,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
10-12-41,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
10-13-01,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
10-13-11,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-13-21,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
10-14-41,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-51,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
