date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-16-01,41,0,0,0,0,0,0,0,0,36,0,0,0,0,41,0
12-17-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,45,0
12-18-01,37,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0
12-19-01,38,0,38,0,0,0,0,0,0,63,0,0,0,0,47,0
12-20-01,0,0,0,0,0,0,0,0,0,44,0,0,0,0,46,0
12-21-01,0,0,0,0,0,0,0,0,0,42,0,0,0,0,49,0
12-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-23-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
12-24-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-25-01,0,37,0,0,0,0,0,0,0,34,0,0,0,39,0,0
12-26-01,0,42,0,0,0,38,0,0,34,0,0,0,0,35,0,0
12-27-01,0,33,0,0,0,33,0,0,0,0,0,0,0,33,0,0
12-28-01,0,0,0,0,0,33,0,0,0,33,0,0,0,40,0,0
12-29-01,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0
12-30-01,0,0,0,0,0,33,0,0,0,0,0,0,0,34,0,0
12-31-01,0,37,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-32-21,0,40,0,0,0,39,0,0,0,0,0,0,0,37,0,0
12-33-01,0,39,0,0,0,38,0,0,0,0,0,0,0,33,0,0
12-34-01,0,0,0,0,0,34,0,0,33,0,0,0,0,0,0,0
12-35-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-36-01,0,0,38,0,0,33,0,0,0,0,0,0,0,33,0,0
12-37-01,0,0,0,0,0,33,0,0,0,0,0,0,0,35,38,0
12-38-01,0,0,0,0,0,0,0,33,0,0,0,0,33,38,0,0
12-39-01,0,0,0,33,0,33,0,0,0,0,0,0,0,35,0,0
12-40-01,0,33,33,0,0,34,0,0,0,54,0,0,0,33,0,0
12-41-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-42-01,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
12-43-01,0,0,0,0,0,36,0,0,33,0,0,0,0,0,34,0
12-44-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,43,0
12-45-01,0,0,33,34,0,0,0,0,0,0,0,0,0,0,48,0
12-46-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,43,0
12-47-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,48,0
12-48-01,0,0,37,41,0,33,0,0,0,0,0,0,36,33,39,0
12-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
12-50-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
12-51-01,0,0,35,37,0,33,0,0,0,0,0,0,0,33,43,0
12-52-01,0,0,0,0,0,35,0,0,0,33,0,0,40,0,41,0
12-53-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
