date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-51-31,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-51-41,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-51-51,0,58,49,0,0,0,34,0,0,0,0,0,0,58,0,0
09-52-01,0,56,50,0,0,0,35,0,0,0,0,0,0,56,0,0
09-52-11,0,56,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-52-21,0,57,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-52-31,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-52-41,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-52-51,0,57,50,0,0,0,40,0,0,0,0,0,0,58,0,0
09-53-01,0,58,50,0,0,0,30,0,0,0,0,0,0,56,0,0
09-53-11,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-53-21,0,57,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-53-31,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-53-41,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-53-51,0,58,48,0,0,0,0,0,0,0,0,0,0,58,31,0
09-54-01,0,57,50,0,0,0,36,0,0,0,0,0,0,57,0,0
09-54-11,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-54-21,0,60,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-54-31,0,58,49,0,0,0,0,0,0,0,0,0,0,58,33,0
09-54-41,0,58,50,0,0,0,0,0,0,0,0,0,0,58,30,0
09-54-51,0,58,49,0,0,0,0,0,0,0,0,0,0,57,0,0
09-55-01,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-55-11,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-55-21,0,59,49,0,0,0,0,0,0,0,0,0,0,0,0,0
09-55-31,0,58,50,30,0,0,0,0,0,0,0,0,0,56,0,0
09-55-41,0,57,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-55-51,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-56-01,0,58,50,0,0,0,30,0,0,0,0,0,0,58,0,0
09-56-11,0,57,51,0,0,0,30,0,0,0,0,0,0,58,0,0
09-56-21,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-56-31,0,58,48,0,0,0,0,0,0,0,0,0,0,56,0,0
09-56-41,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-56-51,0,58,50,0,0,0,37,0,0,0,0,0,0,57,0,0
09-57-01,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-57-11,0,58,48,0,0,0,0,0,0,0,0,0,0,58,0,0
09-57-21,0,57,49,0,0,0,0,0,0,0,0,0,0,57,0,0
09-57-31,0,57,49,0,0,0,36,0,0,0,0,0,0,57,0,0
09-57-41,0,58,49,0,0,0,35,0,0,0,0,0,0,57,0,0
09-57-51,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-58-01,0,58,49,0,0,0,30,0,0,0,0,0,0,56,0,0
09-58-11,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-58-21,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-58-31,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-58-41,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-58-51,0,58,49,31,0,0,0,0,0,0,0,0,0,58,0,0
09-59-01,0,58,50,0,0,0,0,0,0,0,0,0,0,59,0,0
09-59-11,0,58,50,0,0,0,0,0,0,0,0,0,0,55,0,0
09-59-21,0,57,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-59-31,0,54,50,0,0,0,0,0,0,0,0,0,0,58,0,0
