date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
12-35-01,33,0,0,41,0,31,32,0,0,0,0,0,0,0,0,0
12-36-01,32,0,0,36,0,0,0,0,0,32,0,0,0,0,35,0
12-37-01,32,0,45,58,0,0,34,0,0,0,0,0,0,0,33,0
12-38-01,31,0,39,0,0,0,36,0,0,0,0,0,0,0,40,0
12-39-01,32,0,34,40,0,0,35,0,0,0,0,0,0,0,36,0
12-40-01,31,0,44,0,0,37,0,0,0,0,0,0,0,0,40,0
12-41-01,35,0,0,0,0,0,0,0,0,34,0,0,31,0,0,0
12-42-01,0,0,0,0,0,0,0,0,0,31,0,0,33,0,0,0
12-43-01,42,0,0,0,0,0,0,0,0,42,0,0,35,0,0,0
12-44-01,32,0,0,0,0,0,0,0,0,47,0,0,32,0,0,0
12-45-01,37,31,0,0,0,39,0,0,0,44,0,0,0,0,0,0
12-46-01,35,0,0,0,31,0,0,0,0,42,0,0,0,0,0,0
12-47-01,33,0,0,0,31,0,0,0,0,46,0,0,0,0,0,0
12-48-01,41,31,0,0,32,0,31,0,0,47,0,0,0,0,0,0
12-49-01,32,0,0,0,31,31,0,0,0,49,0,0,0,0,0,0
12-50-01,31,0,39,32,31,0,0,0,0,46,0,0,0,0,32,0
12-51-01,35,35,0,0,0,0,0,0,0,46,0,0,0,0,0,0
12-52-01,42,0,0,0,32,0,0,0,0,44,0,0,0,0,0,0
12-53-01,32,0,0,0,32,0,32,0,0,48,0,0,0,0,0,0
12-54-01,31,0,0,0,32,0,33,0,0,48,0,0,0,0,0,0
12-55-01,32,0,0,0,33,35,0,0,0,45,0,0,0,0,0,0
12-56-01,40,0,0,0,32,34,0,0,0,48,0,0,0,0,0,0
12-57-01,33,0,0,0,31,33,0,0,0,48,0,0,0,0,0,0
12-58-01,36,0,0,0,31,35,0,0,0,47,0,0,0,0,0,0
12-59-01,41,0,0,0,31,35,0,0,0,48,0,0,0,0,0,0
13-00-01,32,0,0,0,32,34,0,0,0,48,0,0,0,0,0,0
13-01-01,0,0,0,0,32,0,0,0,0,48,0,0,0,0,0,0
13-02-01,34,0,0,0,0,0,0,0,0,49,0,0,0,0,44,0
13-03-01,37,0,32,0,0,33,0,0,0,51,0,0,0,0,45,0
13-04-01,0,0,0,0,0,0,0,0,0,50,0,33,0,0,46,0
13-05-01,40,0,36,0,0,0,0,0,0,49,0,0,0,0,46,0
13-06-01,0,0,0,0,0,31,0,0,0,47,0,0,0,0,49,0
13-07-01,36,0,0,0,31,0,0,0,0,45,0,0,0,0,42,0
13-08-01,0,0,0,0,31,0,0,0,0,48,0,0,0,0,45,0
13-09-01,0,0,0,0,0,0,0,0,0,48,0,0,0,0,45,0
13-10-01,0,51,0,0,0,0,31,0,0,49,0,0,0,0,48,0
13-11-01,32,51,0,0,32,0,0,0,0,44,0,0,0,0,48,0
13-12-01,32,52,0,0,32,0,0,0,0,46,0,0,0,0,47,0
13-13-01,31,51,0,0,35,36,0,0,0,51,0,41,0,0,48,0
13-14-01,31,52,0,0,31,0,0,0,0,46,0,0,0,0,46,0
13-15-01,0,52,0,0,32,0,0,0,0,46,0,0,0,0,46,0
13-16-01,0,52,0,0,31,0,0,0,0,51,0,0,0,0,46,0
13-17-01,33,50,0,0,32,0,0,0,0,0,0,40,0,0,47,0
13-18-01,32,52,0,0,32,0,0,0,0,49,0,0,0,0,48,0
13-19-01,31,53,38,0,32,0,0,0,0,49,0,0,0,0,48,0
