date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
13-03-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-04-01,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
13-05-11,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
13-07-01,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
13-08-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-09-01,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
13-10-11,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
13-11-01,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
13-12-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
13-13-11,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-14-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-16-31,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-17-31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-19-31,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-21-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-22-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-24-51,0,0,0,0,0,0,0,0,0,41,0,0,0,39,53,0
13-25-01,0,0,38,0,0,0,0,0,0,42,0,0,0,0,42,0
13-26-01,0,0,0,0,0,0,0,0,0,44,0,0,0,0,49,0
13-27-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,46,0
13-28-01,0,0,0,0,0,0,0,0,0,44,0,0,0,0,40,0
13-29-01,0,0,0,0,0,0,0,0,0,45,0,0,0,0,43,0
13-30-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,43,0
13-31-01,0,0,0,0,0,0,0,0,0,43,0,0,0,38,44,0
13-32-01,0,0,0,0,0,0,0,0,0,48,0,0,0,0,38,0
13-33-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,40,0
13-34-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,42,0
13-35-01,0,0,0,0,0,0,0,0,0,46,0,0,0,38,45,0
13-36-01,0,0,38,0,0,0,0,0,0,49,0,0,0,0,46,0
13-37-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,42,0
13-38-01,0,0,0,0,0,0,0,0,0,44,0,0,0,0,49,0
13-39-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
13-40-21,0,0,0,0,0,0,42,0,0,0,0,38,0,0,0,0
13-41-11,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
13-42-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-43-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-44-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
13-45-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-46-01,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
13-47-41,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
13-48-31,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
13-50-01,0,0,0,0,0,0,39,0,0,41,0,0,0,0,0,0
13-51-01,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,0
13-52-21,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
13-53-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
13-54-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0
13-55-11,0,38,0,0,0,0,0,0,0,38,0,0,0,38,38,0
13-56-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
13-57-51,0,38,0,0,0,0,0,0,0,39,0,0,0,0,38,0
13-58-01,0,0,0,0,0,0,0,0,0,44,0,0,0,38,38,0
13-59-01,0,0,0,0,0,0,0,0,0,42,0,0,0,39,39,0
14-00-01,0,38,0,0,0,0,0,0,0,39,0,0,0,0,0,0
14-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
14-02-21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
14-03-31,0,0,0,0,0,0,0,0,0,39,0,0,0,38,0,0
14-04-01,0,0,0,0,0,0,0,0,0,39,0,0,0,38,38,0
14-05-41,0,0,0,0,0,0,0,0,0,38,0,0,0,39,39,0
14-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
