date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
14-16-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-17-11,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
14-18-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-19-01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-20-21,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
14-21-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,34,0
14-22-01,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
14-23-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-24-11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
14-25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-26-41,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
14-27-01,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
14-29-11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
14-32-31,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
14-35-11,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-36-01,0,0,0,0,0,0,31,0,0,0,0,0,0,0,30,0
14-37-11,0,0,0,0,0,0,0,0,0,29,0,0,0,0,31,0
14-38-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-39-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
14-40-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-41-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
14-42-01,0,35,0,0,0,0,0,0,0,30,0,0,0,34,0,0
14-43-11,43,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-44-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-45-01,0,0,0,33,0,0,35,0,0,0,0,0,0,0,31,0
14-46-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-47-01,0,31,0,0,0,0,0,0,0,34,0,0,0,0,0,0
14-49-01,0,32,0,0,0,0,0,0,0,32,0,0,0,30,34,0
14-50-11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-51-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0
14-52-01,0,43,0,0,0,0,0,0,0,41,0,0,0,38,31,0
14-53-01,0,49,38,35,0,0,0,0,0,31,0,0,0,52,38,0
14-54-01,0,34,39,33,0,0,0,0,0,38,0,0,0,44,52,0
14-55-01,0,0,51,35,0,0,0,0,0,56,0,0,0,49,50,0
14-56-01,0,43,54,50,0,0,0,0,0,58,0,0,0,53,51,0
14-57-01,0,46,53,51,0,0,0,0,0,54,0,0,0,51,52,0
14-58-01,0,48,55,52,0,0,0,0,0,55,0,0,0,52,0,0
14-59-01,0,0,56,51,0,0,0,0,0,55,0,0,0,55,51,0
15-00-01,0,40,0,53,0,0,0,0,0,56,0,0,0,54,50,0
15-01-01,0,43,53,52,0,0,0,0,0,56,0,0,0,0,45,0
15-02-01,0,0,55,52,0,0,0,35,0,52,0,0,0,54,45,0
15-03-01,0,33,55,54,0,0,42,35,30,0,0,0,0,55,45,0
15-04-01,0,0,55,0,0,0,58,45,45,58,0,0,0,54,0,0
15-05-01,0,0,56,54,0,0,57,43,43,57,0,0,0,55,51,29
15-06-01,0,0,55,53,0,0,45,45,0,56,0,0,0,53,0,0
15-07-01,0,0,0,50,0,0,36,0,45,0,0,0,0,53,45,0
15-08-01,0,37,53,0,0,0,0,45,45,0,0,0,0,52,45,33
15-09-01,0,0,55,53,0,0,47,45,44,51,0,0,0,53,45,0
15-10-01,0,44,0,53,0,0,0,45,44,52,0,0,0,53,47,0
